Company,Title,Start Date,End Date,Location,Description
PayJoy,Software Engineer (Payments Platform),Aug 2025,Present,"Bogota, Colombia · Hybrid",Optimize payment service database queries and indexing across 2 critical retrieval flows reducing installment latency and improving backend efficiency under production load
PayJoy,Software Engineer (Payments Platform),Aug 2025,Present,"Bogota, Colombia · Hybrid",Expand observability with 3 telemetry layers (Datadog APM custom metrics and alerting) accelerating incident detection and reducing downtime
PayJoy,Software Engineer (Payments Platform),Aug 2025,Present,"Bogota, Colombia · Hybrid",Orchestrate rollout of offline code-generation workflows across 3 functions (engineering product and operations) mitigating regulatory risk in Brazil and strengthening operational resilience
PayJoy,Software Engineer (Payments Platform),Aug 2025,Present,"Bogota, Colombia · Hybrid",Drive integration of a new payment processor (Bitso) expected to reduce annual transaction costs by ~$1M while improving payment reliability and scalability
PayJoy,Software Engineer (Payments Platform),Aug 2025,Present,"Bogota, Colombia · Hybrid",Engineered a zero-to-production Kasnet integration — one of Peru's largest payment networks — adding QR-code and e-wallet payment capabilities and unlocking up to $3M in projected annual savings for PayJoy
Reshut Tech,Senior AI & Backend Engineer,Dec 2024,May 2025,Miami USA · Remote,Led end-to-end computer vision development across 2 production model families (YOLOv7 and Detectron2) improving model quality through systematic fine-tuning and evaluation
Reshut Tech,Senior AI & Backend Engineer,Dec 2024,May 2025,Miami USA · Remote,Architected ML deployment workflows on Google Cloud Platform with 3 delivery pillars (containerization CI/CD and service scaling) enabling repeatable production releases
Reshut Tech,Senior AI & Backend Engineer,Dec 2024,May 2025,Miami USA · Remote,Introduced production monitoring and logging for AI services with metric-based alerting improving runtime reliability and reducing issue triage time
Reshut Tech,Senior AI & Backend Engineer,Dec 2024,May 2025,Miami USA · Remote,Partnered with leadership on quarterly ML milestones and delivery plans in an agile workflow keeping execution aligned with product goals
Dataplicada,Data Scientist,Aug 2020,Nov 2024,Miami USA · Remote,Designed and deployed a Retrieval-Augmented Generation (RAG) system with LangChain and 2 LLMs (Llama3 and GPT-4) turning large-scale customer feedback into actionable insights
Dataplicada,Data Scientist,Aug 2020,Nov 2024,Miami USA · Remote,Created Python ETL pipelines for 2 data modalities (structured and unstructured) improving data readiness for downstream analysis
Dataplicada,Data Scientist,Aug 2020,Nov 2024,Miami USA · Remote,Scaled analytics platform capabilities used by 100+ enterprise clients enabling faster data-driven decision-making
Tesla Inc.,Software Engineer Intern,Sep 2022,Dec 2022,"Reno, NV",Engineered real-time Python ETL pipelines for Powerwall manufacturing data identifying bottlenecks and reducing adhesive waste by 20%
Tesla Inc.,Software Engineer Intern,Sep 2022,Dec 2022,"Reno, NV",Refined assembly-station logic and data-integrity workflows across 4+ Powerwall configurations improving operational consistency
Tesla Inc.,Software Engineer Intern,Sep 2022,Dec 2022,"Reno, NV",Established Kubernetes-based CI/CD with Docker and Jenkins across 3 core deployment stages (build test and release)
Independent Consultant,"Software Engineering Consultant (Toyota Chile, Ford Argentina)",Jan 2018,Dec 2020,Remote,Built an interactive VR product showcase for Toyota Chile shipping a production marketing experience used in customer-facing campaigns
Independent Consultant,"Software Engineering Consultant (Toyota Chile, Ford Argentina)",Jan 2018,Dec 2020,Remote,Integrated Ford Argentina APIs into dealership CRM workflows improving vehicle-order tracking and reliability across multi-dealership sales teams
